"PhaseOfEducation (code)","SchoolWebsite"
"2","www.stthomasrc.lbhf.sch.uk"
"2","www.ambler.islington.sch.uk"
"2","www.draytonpark.islington.sch.uk/"
"2","www.duncombeprimary.co.uk/"
"2","www.gillespie.islington.sch.uk"
"2","www.graftonschool.co.uk"
"2","www.hanover.islington.sch.uk"
"2","www.hargravepark.com/"
"2","www.laycock.islington.sch.uk/"
"2","http://www.moreland-islington.co.uk"
"2","www.pakemanprimary.co.uk"
"2","http://www.robertblairschool.com"
"2","www.thornhill.islington.sch.uk"
"2","www.vittoria.islington.sch.uk"
"2","www.wintonprimaryschool.com"
"2","www.yerbury.islington.sch.uk"
"2","www.tufnellpark.islington.sch.uk/"
"2","http://www.highburyquadrantprimary.co.uk"
"2","www.ashmountprimaryschool.co.uk/"
"2","www.priorweston.islington.sch.uk"
"2","http://www.sacredheart.islington.sch.uk/"
"2","www.stjohnevangelist.islington.sch.uk"
"2","www.stjohnsupperholloway.co.uk/"
"2","www.stjhv.islington.sch.uk"
"2","www.st-josephs.islington.sch.uk"
"2","www.stjudestpauls.co.uk"
"2","www.st-lukesislington.co.uk"
"2","www.st-marks.islington.sch.uk/"
"2","www.stmarys.islington.sch.uk"
"2","www.stpetersandstpauls.islington.sch.uk/"
"2","www.standrews.islington.sch.uk"
"2","www.st-joanofarc.islington.sch.uk/"
"2","www.ctks.co.uk/"
"4","http://www.beaconhigh.org"
"4","http://www.highburyfields.islington.sch.uk/"
"4","http://www.egaschool.co.uk/"
"4","http://www.centralfoundationboys.co.uk"
"4","www.sta.islington.sch.uk"
"2","http://ashburnhamcommunityschool.org.uk/"
"2","http://www.barlby.rbkc.sch.uk"
"2","http://www.bevington.rbkc.sch.uk"
"2","www.bousfieldprimaryschool.co.uk/"
"2","http://www.colville.rbkc.sch.uk"
"2","http://www.fox.rbkc.sch.uk"
"2","http://www.marlborough.rbkc.sch.uk"
"2","http://www.oxfordgardens.rbkc.sch.uk"
"2","http://www.parkwalk.rbkc.sch.uk"
"2","http://www.avondalepark.rbkc.sch.uk"
"2","http://www.thomasjonesschool.org"
"2","http://www.ccht.rbkc.sch.uk"
"2","http://www.ccht.rbkc.sch.uk"
"2","http://www.oratory.rbkc.sch.uk"
"2","https://www.stfed.rbkc.sch.uk"
"2","http://www.sbsp.rbkc.sch.uk"
"2","http://www.stfrancisofassisi.org.uk"
"2","https://www.stfed.rbkc.sch.uk"
"2","http://www.sma.rbkc.sch.uk"
"2","http://www.scwsm.rbkc.sch.uk"
"2","http://www.st-marys.rbkc.sch.uk"
"2","www.serviteprimaryschool.co.uk/"
"4","http://www.allsaintscc.org.uk"
"2","http://www.olov.rbkc.sch.uk"
"2","http://www.st-charles.rbkc.sch.uk"
"2","www.ashmoleprimaryschool.org.uk"
"2","www.claphammanor.lambeth.sch.uk"
"2","www.grantonprimary.org.uk/"
"2","www.heathbrook.org/"
"2","http://www.henrycavendish.co.uk"
"2","www.jessop.lambeth.sch.uk/"
"2","www.ghf.london"
"2","www.larkhallprimary.co.uk"
"2","https://www.paxtonprimary.co.uk/"
"2","www.richardatkins.org"
"2","http://www.stockwell-pri.lambeth.sch.uk"
"2","http://www.sudbourne.com"
"2","www.sunnyhillprimary.com"
"2","http://www.telferscot.co.uk"
"2","www.vauxhallprimary.org.uk/"
"2","www.wtwschool.co.uk"
"7","www.woodmansterne.london"
"2","www.wyvilschool.org.uk/"
"2","www.crownlane.lambeth.sch.uk/"
"2","https://www.fenstantonprimary.co.uk/"
"2","elmwoodprimary.co.uk"
"2","http://www.allenedwards.co.uk"
"2","www.glenbrookprimary.co.uk"
"2","www.juliansprimary.org.uk/"
"2","www.herbertmorrisonprimaryschool.co.uk"
"2","www.archbishop-sumners-primary.lambeth.sch.uk"
"2","www.christchurchschool.cc"
"2","http://www.macaulaycofeschool.co.uk"
"2","www.standrewsprimaryschoolstockwell.org"
"2","www.sjtdprimary.org.uk"
"2","www.st-johns.lambeth.sch.uk"
"2","www.st-judes.lambeth.sch.uk/"
"2","www.stmarkscofeprimarylambeth.co.uk"
"2","www.stsaviourslambeth.co.uk"
"2","www.st-stephens.lambeth.sch.uk/"
"2","www.holytrinityceprimary.org.uk"
"2","https://www.st-helens.lambeth.sch.uk/contact-us/"
"4","http://www.thenorwoodschool.org/"
"4","http://www.lilianbaylis.com/"
"4","http://www.saintgabrielscollege.org/"
"2","www.fedstbb.org.uk"
"2","www.st-annes.lambeth.sch.uk/"
"2","www.st-bedes.lambeth.sch.uk"
"2","www.st-andrewsrc.lambeth.sch.uk/"
"2","http://www.immanuelschoollambeth.org/"
"2","http://www.reay.lambeth.sch.uk/"
"2","www.stmarys-lambeth.co.uk/"
"4","laretraite.co.uk"
"4","http://www.btg.ac/"
"4","http://www.lns.org.uk/"
"2","www.adamsrill.lewisham.sch.uk"
"2","www.athelneyprimary.org.uk"
"2","www.baring.lewisham.sch.uk/"
"2","www.beecroftgarden.lewisham.sch.uk/"
"2","www.cooperslane.lewisham.sch.uk/"
"2","http://www.dalmain.lewisham.sch.uk/"
"2","http://www.deptfordpark.lewisham.sch.uk"
"2","www.downderryprimaryschool.com"
"2","www.edmundwaller.lewisham.sch.uk/"
"2","www.lewisham.gov.uk/"
"2","https://www.forsterpark.co.uk/"
"2","http://www.gordonbrock.lewisham.sch.uk/"
"2","http://www.ggibbons.lewisham.sch.uk"
"2","www.haseltineprimary.co.uk/"
"2","www.brindisheschools.org"
"2","www.holbeach.lewisham.sch.uk/"
"2","www.johnstainer.lewisham.sch.uk/"
"2","www.kelvingrove.lewisham.sch.uk/"
"2","http://www.kender.lewisham.sch.uk/"
"2","www.launcelot.lewisham.sch.uk/"
"2","www.brindishemanor.lewisham.sch.uk"
"2","http://www.lucasvale.lewisham.sch.uk"
"2","www.marvelslane.lewisham.sch.uk"
"2","http://www.rangefield.co.uk/"
"2","http://www.rathfern.lewisham.sch.uk"
"2","www.rusheygreen.lewisham.sch.uk/"
"2","https://www.sandhurstprimary.lewisham.sch.uk/"
"2","www.stillnessjs.lewisham.sch.uk/"
"2","www.stillness-inf.lewisham.sch.uk"
"2","www.torridonprimary.lewisham.sch.uk/"
"2","www.johnball.lewisham.sch.uk"
